FID,id1,aa,company,a_m,thesh,kal_dhmos,kal_dhm_enothta,kal_perif_enothta,kal_perifereia,epo,power_mw,katastash_code,katastash_descr,paratiriseis,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_AIOLIKA13.32939,32939,Β-00180,ΑΙΟΛΙΚΗ ΕΥΒΟΙΑΣ -ΧΕΛΩΝΑ Α.Ε.,ΑΔ-00410,ΧΕΛΩΝΑ,ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,8.1,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.419854621667717 38.13130366217887, 24.421710542479264 38.130621070250974, 24.42537093260727 38.1302383575724, 24.425846684466496 38.12964180280343, 24.429476312130355 38.129862917603916, 24.430140715466184 38.13031111653352, 24.430813761265842 38.13222833223464, 24.431352948677258 38.132722046120456, 24.43220562227635 38.13219618208537, 24.431769175447705 38.1317111071112, 24.431084328949524 38.1297308519106, 24.42965342530394 38.128933972800915, 24.425658740289407 38.12871418655508, 24.4249552718798 38.12939267791797, 24.421192390269503 38.12980278288994, 24.419382588288855 38.13056631542466, 24.419854621667717 38.13130366217887)))"
V_SDI_R_AIOLIKA13.33472,33472,Γ-01459,GORITSA  AIOLOS ΕΝΕΡΓΕΙΑΚΗ ΜΟΝ. AE,ΑΔ-01221,ΓΚΟΡΙΤΣΑ,ΘΗΒΑΙΩΝ,ΘΙΣΒΗΣ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,33,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2006-03-30,2009-05-14,"MULTIPOLYGON (((22.96611587067806 38.303557286021615, 22.96772501185192 38.29895728986433, 22.949664339456202 38.289667767281664, 22.93546671800375 38.30348140849348, 22.952754235823516 38.31017074248054, 22.959976791635818 38.304990002470234, 22.96611587067806 38.303557286021615)))"
V_SDI_R_AIOLIKA13.36876,36876,Γ-03510,SPIDER ΕΝΕΡΓΕΙΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ (δ.τ. SPIDER ΕΝΕΡΓΕΙΑΚΗ Α.Ε.),ΑΔ-01886,ΠΕΤΑΛΑΣ (ΘΥΑΜΟΝ ΟΡΟΣ),"ΑΜΦΙΛΟΧΙΑΣ,ΑΓΡΙΝΙΟΥ,ΞΗΡΟΜΕΡΟΥ","ΑΜΦΙΛΟΧΙΑΣ,ΣΤΡΑΤΟΥ,ΦΥΤΕΙΩΝ",ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΑΙ,48,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2008-06-10,2010-10-04,"MULTIPOLYGON (((21.1930049555772 38.83825434415232, 21.19224030412575 38.84012338641022, 21.190519647347532 38.84345143257454, 21.191463045143458 38.844068744099516, 21.192750495700015 38.8444330559474, 21.19379713732503 38.84447624185624, 21.19492167894483 38.844296059923394, 21.197212398727757 38.84023387000581, 21.19672277944784 38.83950137409913, 21.19596388043629 38.83887952791526, 21.196811419417767 38.838710690408206, 21.19793742429435 38.83819717140053, 21.198821883190757 38.837380540292656, 21.19919431558644 38.836695765646475, 21.199357054551157 38.83548342292411, 21.198888625694956 38.83421088976671, 21.200985069127636 38.83362152059887, 21.202594945837784 38.830750123246446, 21.202305533143246 38.8299053271971, 21.203151894678864 38.82976344130699, 21.206248695759705 38.82420680647412, 21.208972191423314 38.81787536658321, 21.208554333046898 38.81736986611799, 21.207724057773152 38.81680945478606, 21.20638230073605 38.81637193898349, 21.205049488753204 38.81629499296222, 21.204962265168543 38.81646408098295, 21.198210242255808 38.82801426837037, 21.19542028701397 38.83277622686554, 21.19482868460452 38.83376203699618, 21.1930049555772 38.83825434415232)), ((21.205376777136905 38.81558208586248, 21.20616451875311 38.816051403008906, 21.20745050229285 38.816442540814606, 21.208681534344468 38.81647197966564, 21.209667542107354 38.81628833620715, 21.212653118475767 38.809125194683126, 21.21204287658778 38.808534029871225, 21.211118885947815 38.80801645172567, 21.209967558405566 38.80771866643399, 21.208828704203498 38.80769144673338, 21.208253233914853 38.80856960765989, 21.205376777136905 38.81558208586248)), ((21.2330548372117 38.751437021586284, 21.231438131163276 38.75665118841804, 21.232396124386373 38.75716940786832, 21.233648480680294 38.75751440385186, 21.23491475232444 38.757499340285, 21.23607648895225 38.75721150756776, 21.236898555680565 38.756780487488605, 21.23811387900954 38.75361089384708, 21.23751983484346 38.7526058120758, 21.23668271383514 38.751937334443916, 21.235493122259793 38.75145871636967, 21.234291034976593 38.75130412880718, 21.2330548372117 38.751437021586284)), ((21.241507615117726 38.792440449445294, 21.243843754615465 38.79604530096427, 21.247350844343362 38.79615505554776, 21.24638709579947 38.79128529321943, 21.245358912850698 38.791080856015455, 21.244150588184983 38.79107036470631, 21.24306952383206 38.79134215575841, 21.241987110535497 38.79194725121216, 21.241507615117726 38.792440449445294)), ((21.250879905728976 38.786408963075836, 21.250606770401973 38.78183477426603, 21.250436694477607 38.781767704353356, 21.250588959142526 38.78169921411036, 21.250540197367776 38.78057189246378, 21.24698153869782 38.7773347709161, 21.24541877186344 38.77756820269152, 21.244127874244118 38.7782134513796, 21.243404982252002 38.77905228164475, 21.242950483148363 38.78039295946532, 21.243302680896974 38.781707633421675, 21.244409320643634 38.78285992312999, 21.244080215222603 38.78393328213294, 21.2442599428636 38.78524388275173, 21.244861260785633 38.786068914730976, 21.245699535308663 38.786719345270924, 21.246377442168093 38.78705066042068, 21.246412156948235 38.78644785082471, 21.250655860077753 38.7865478386563, 21.250879905728976 38.786408963075836)), ((21.235214430476017 38.77953436587224, 21.236110037121023 38.78018622110931, 21.23718684222256 38.78061712231968, 21.23844657664665 38.780782058512315, 21.239487786346807 38.78064450661144, 21.240596556949118 38.78024726989556, 21.241544275630176 38.77954890906916, 21.242153936316885 38.778662369981696, 21.24236111323181 38.777766324314584, 21.242174493474113 38.77663574503102, 21.24157501494872 38.77576569613462, 21.240680103035942 38.77509588023845, 21.239489412064565 38.77463529180894, 21.239463167192277 38.7738238273313, 21.239147728884827 38.77305057362751, 21.238485615351355 38.77231416932906, 21.238468063342637 38.77127767555589, 21.238154382109496 38.77045941382828, 21.23738079806088 38.7696302735874, 21.236424342414878 38.76906708278129, 21.23564691623524 38.767742324506436, 21.23503743153204 38.766241349464835, 21.234814441846158 38.766055882665825, 21.23503809731356 38.761754691936346, 21.235783078430504 38.759745212742416, 21.23531376749989 38.75908542899914, 21.234475900630855 38.7584349364935, 21.23340117798764 38.75795901593964, 21.2322568150096 38.7577967640179, 21.23107937305756 38.757894988926886, 21.230046902572084 38.76108685771445, 21.22886136444492 38.77001405197763, 21.230654702183344 38.7724440716834, 21.231576335473033 38.773907420853405, 21.2336162515155 38.777109037281356, 21.234410738682296 38.77739813517874, 21.23461675589306 38.7786192781845, 21.235214430476017 38.77953436587224)), ((21.209832075699754 38.80617484003416, 21.211099997635102 38.80702497835178, 21.212698203038038 38.80737846785553, 21.213817557215435 38.80731509138705, 21.21871555247996 38.80009829109289, 21.22170455565894 38.79398905446443, 21.220423864790277 38.79287745707318, 21.218543654887903 38.79238221982673, 21.216983988751757 38.79252524496764, 21.215455057152244 38.79720066745121, 21.209832075699754 38.80617484003416)), ((21.21907440892039 38.78613337833879, 21.217306539787653 38.79163199979105, 21.21840289098659 38.79215363370873, 21.220042311411362 38.79232781455087, 21.22149395111487 38.792001991396056, 21.222849090791566 38.791196360422525, 21.223522529848193 38.79015828261298, 21.2237146928915 38.78876640451075, 21.223196584403595 38.78758287182152, 21.222103793322276 38.78667396641318, 21.220570136401427 38.7861509694242, 21.21907440892039 38.78613337833879)))"
V_SDI_R_AIOLIKA13.32921,32921,Γ-04545,ΑΙΟΛΙΚΗ ΝΤΑΛΑΜΑΚΗ Α.Ε.,ΑΔ-03157,ΝΤΑΛΑΜΑΚΙ,ΘΗΒΑΙΩΝ,ΠΛΑΤΑΙΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,10.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2010-06-10,2012-03-22,"MULTIPOLYGON (((23.130217177625727 38.20856649658871, 23.13743583870112 38.21116951313022, 23.138270936710608 38.212272891849835, 23.139441286416044 38.21447479647905, 23.143388947026338 38.21860308535062, 23.148685406389426 38.215440362109256, 23.145229569859918 38.21184953848233, 23.144198784957897 38.20991042444553, 23.14210581029541 38.20714522747762, 23.138599803247345 38.20580772555098, 23.1328928352661 38.203823383861, 23.130217177625727 38.20856649658871)))"
V_SDI_R_AIOLIKA13.34457,34457,Γ-00201,VECTOR ΑΙΟΛΙΚΗ ΔΕΣΦΙΝΑΣ ΑΕ,ΑΔ-00519,ΠΥΡΑΜΙΔΑ -ΧΕΛΩΝΑ,ΔΕΛΦΩΝ,ΔΕΣΦΙΝΑΣ,ΦΩΚΙΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,18.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2002-04-29,2003-05-28,"MULTIPOLYGON (((22.538930000916615 38.36049166901965, 22.54013829536401 38.359590149713355, 22.54096264982735 38.35824055830369, 22.541572437736438 38.35700246887844, 22.54204485679881 38.355770778143295, 22.54299112261868 38.354763957430265, 22.5437695848743 38.35380884402331, 22.544105857640616 38.35345237480269, 22.5443445550808 38.35239061420796, 22.544381773990683 38.35230357333512, 22.544446434085167 38.352183439966566, 22.544604795634985 38.35199589121724, 22.54506789024671 38.351700470062205, 22.545282240460782 38.351511362230916, 22.545268986648473 38.35155318439711, 22.544946932984335 38.35256940280155, 22.54583078412582 38.351720928909806, 22.546049346699284 38.351343979275796, 22.54541476592429 38.35083037499909, 22.545734851959367 38.35040097602885, 22.546845076475037 38.350168002954604, 22.547320956786642 38.34962680344771, 22.547753798699244 38.349630092912065, 22.54881819156161 38.348934686585395, 22.550289075411303 38.34813940160981, 22.55154787061821 38.34749422535853, 22.55290877544433 38.34654128615776, 22.553976971934855 38.345707369765584, 22.555325663825986 38.34482445190949, 22.556389279186874 38.344045697917146, 22.55756122029102 38.34266754943293, 22.558357855744514 38.34160468882009, 22.559002327889036 38.34038387049123, 22.559682861801875 38.33928226496417, 22.560865471625938 38.33843914511853, 22.559911023262664 38.33749598078406, 22.55849982259475 38.338638802857986, 22.557704649480947 38.33990669855831, 22.557655931913466 38.34000928285513, 22.557148196970065 38.34107902871814, 22.556464484987867 38.34195745096381, 22.55634070406237 38.342134898567025, 22.555747302565514 38.34207162849026, 22.55521200144751 38.342182545777376, 22.552284878489246 38.34516300233079, 22.551858120299677 38.34528074129946, 22.548859296625803 38.346920912524155, 22.548157095719656 38.34745661299356, 22.547823479940224 38.347711115638965, 22.54717943011654 38.3481534487413, 22.546844813814786 38.348383244225275, 22.545676244124223 38.349692384844005, 22.544690513561502 38.35101811138138, 22.543840125927456 38.35196684126121, 22.542654534449163 38.353034767717524, 22.541789285455277 38.35419696302573, 22.540872496229852 38.35514880952605, 22.53970030273361 38.35780093467104, 22.53906585823536 38.358868747504, 22.538102660565066 38.35960803933083, 22.538930000916615 38.36049166901965)))"
V_SDI_R_AIOLIKA13.33592,33592,Γ-00202,VECTOR ΑΙΟΛΙΚΗ ΔΕΣΦΙΝΑΣ ΑΕ,ΑΔ-00522,ΚΟΥΡΜΟΥΤΣΙ - ΚΑΡΔΑΡΑ,ΔΕΛΦΩΝ,ΔΕΣΦΙΝΑΣ,ΦΩΚΙΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,21.15,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2002-04-29,2003-05-28,"MULTIPOLYGON (((22.52762674666492 38.327484837019554, 22.528989563686313 38.32690906356655, 22.529952510449906 38.3267480250317, 22.53154697874949 38.32653369919211, 22.53390190288238 38.32604949988631, 22.534004653419263 38.3260597961082, 22.536287462913073 38.325178133757824, 22.537878013465228 38.32401744724545, 22.540222878289434 38.32402863631911, 22.541165136426663 38.32324733459697, 22.542900164329463 38.322863379980674, 22.545866884720503 38.322665900537814, 22.547634637118126 38.32178663881742, 22.550476681013368 38.32012697424097, 22.553421374442866 38.31840668534402, 22.55426314483 38.31812427555702, 22.554561389994724 38.318024227254305, 22.55464214221396 38.31856592408647, 22.554962155285853 38.319155627653586, 22.555228748830146 38.319555426712135, 22.55553072616314 38.31990159084042, 22.556106993858812 38.320260143308836, 22.55695969986777 38.320522966230186, 22.557745580352467 38.32069484424329, 22.559237477628653 38.32102859169683, 22.5597873082539 38.32099028689421, 22.56086890537334 38.32067013209437, 22.56325408994814 38.32095170531034, 22.564898888181595 38.32049422456179, 22.56607752479531 38.32047259501465, 22.565676933964742 38.31932321025041, 22.56340597322128 38.31905209756321, 22.560962423740254 38.31883289354096, 22.560193754150088 38.31952637135007, 22.558616674823515 38.32002967688835, 22.558097589670002 38.32024858814896, 22.557583679241183 38.3202062216365, 22.55708227719847 38.32010993662096, 22.55668415839311 38.31999689725708, 22.556252268867876 38.31985640572932, 22.55597012161501 38.319663686377595, 22.555690478681807 38.319344833501134, 22.555434067576783 38.31900824274055, 22.555147643320613 38.3184550010212, 22.555079932693175 38.317832359936176, 22.555980854557546 38.31739287167089, 22.55470472640405 38.316566099293134, 22.554065053871604 38.31652216761078, 22.55248426858212 38.31663784255244, 22.551949956605547 38.31762253263097, 22.55079670509245 38.31809491862876, 22.549475617621994 38.318952719928156, 22.547943439143445 38.320069231347645, 22.546222557054058 38.32089500926085, 22.544990785117776 38.321285258686025, 22.543604661783316 38.32138520456392, 22.54267814870009 38.32138270629081, 22.5409440583514 38.32172161125771, 22.53980445921388 38.32207690585973, 22.538439378975788 38.322267169205986, 22.536254882714235 38.32281667018332, 22.53523906382342 38.32384032834865, 22.534950890031393 38.32403994162874, 22.534728970656996 38.324232812245405, 22.53459415023894 38.324298444739256, 22.534505354688505 38.324282646094225, 22.533569872196058 38.324360167267876, 22.532404417251744 38.32485925245965, 22.530316935276943 38.32513049421132, 22.529564957882073 38.32537645795495, 22.528226341327905 38.32555485777948, 22.526748024153104 38.32624821560319, 22.52762674666492 38.327484837019554)))"
V_SDI_R_AIOLIKA13.33804,33804,Γ-03158,VECTOR ΑΙΟΛΙΚΗ ΝΟΤΙΑΣ ΔΕΣΦΙΝΑΣ ΑΕ,ΑΔ-01740,ΣΚΟΤΩΜΕΝΟΙ-ΒΑΘΕΙΑ ΓΩΝΙΑ,ΔΕΛΦΩΝ,ΔΕΣΦΙΝΑΣ,ΦΩΚΙΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,42.3,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2007-12-10,2010-09-29,"MULTIPOLYGON (((22.571028174667486 38.31010647139088, 22.57093274851055 38.31088932827601, 22.571811400852503 38.31157591006509, 22.57236635867796 38.31243877990065, 22.573012146987463 38.312753037506745, 22.574141002282474 38.31351473969929, 22.574461009451753 38.313527641511676, 22.574538201731436 38.31425852888514, 22.575087798969843 38.31422916070838, 22.57642415347652 38.313740733027885, 22.576742048653973 38.313861743625, 22.578646976043593 38.31354239994126, 22.57898897557023 38.313600614537606, 22.57907623666788 38.31381795311671, 22.578062369817932 38.31477893095622, 22.577007148520433 38.31492834330914, 22.5753050181621 38.31540332285811, 22.57551627348957 38.316298048834675, 22.57671454273196 38.316438761133206, 22.580411567888458 38.31572658538217, 22.580616528672387 38.31577412472642, 22.583600581518322 38.31701777240994, 22.58467641576648 38.31698570202673, 22.584788920093235 38.315905652888155, 22.582389560594507 38.31576853449254, 22.582303515554702 38.31548813100154, 22.58463104987046 38.315200833244866, 22.584163062991287 38.31279806529266, 22.584190663621566 38.31255508182316, 22.585649038316774 38.312257267438085, 22.586311917784844 38.31228328292038, 22.586846389742412 38.3124429234943, 22.589796525796114 38.310712132978225, 22.58493232722267 38.31029307655538, 22.58189673040348 38.31112153796228, 22.576838522622978 38.31068177642183, 22.571028174667486 38.31010647139088)), ((22.57457619054904 38.29654192928622, 22.570930100402222 38.29295594976851, 22.569506731421896 38.291487709390594, 22.567658267169314 38.2918706813311, 22.5650717647893 38.29256902060729, 22.5626135095929 38.293719460789646, 22.560496895601382 38.294937123926566, 22.560137192980285 38.29577981179658, 22.560643278878526 38.29620957441593, 22.560119919660167 38.29665373757894, 22.55900957698492 38.29728894667891, 22.56017184588334 38.298654978618046, 22.560735688991 38.29963516505819, 22.559522022336367 38.29971038361688, 22.55838717694783 38.30100314090838, 22.557884672961052 38.301546678638445, 22.55750470199488 38.301677182039604, 22.557311943985486 38.30159370579828, 22.557121506676754 38.30139310543416, 22.555207884424696 38.301585830446044, 22.554698559136742 38.30247171545164, 22.55348031037237 38.30450235635501, 22.55003968715751 38.30671279957719, 22.547443622431373 38.30842894705767, 22.54508998668429 38.30945414262903, 22.544031266342913 38.31035118561169, 22.544125074314724 38.31137968323521, 22.54456652290594 38.31161045464628, 22.54878382237798 38.30947287150404, 22.551304299413193 38.308107217540275, 22.554190927365973 38.30672799911258, 22.55464346826798 38.30640014349896, 22.55539560897013 38.30595882433067, 22.555271093157568 38.305317459083724, 22.555336840702456 38.304885706715424, 22.55484234057577 38.30444705260972, 22.554790178601756 38.30419408191739, 22.554872537659968 38.30407794441847, 22.555579276022684 38.303618040875094, 22.556351569988678 38.30331213904788, 22.55727713193311 38.3027738127687, 22.557448619574426 38.30219917202533, 22.557888792252456 38.30191620980659, 22.558326108195722 38.301777398310975, 22.5590632064139 38.302092854439834, 22.561438745488495 38.30109467764008, 22.56248614687771 38.30133281219378, 22.565490738464003 38.30264926264966, 22.566776686696052 38.3018088690638, 22.561758894545388 38.29704332638735, 22.561190251987412 38.2963064023756, 22.560529272740645 38.29561340114703, 22.560658409592254 38.295443762936166, 22.561218054800015 38.295477664106826, 22.561500480471555 38.29565235093011, 22.56246333363595 38.296114741723514, 22.564804406873005 38.29569282263619, 22.56555887852748 38.293962786274825, 22.56517462597788 38.293732793210815, 22.565374824143525 38.29343785451202, 22.56564325723358 38.29316177332653, 22.56597797405762 38.29300365447289, 22.570169569201195 38.296749636622245, 22.57194415751011 38.297807605174086, 22.573416712354778 38.297356913503066, 22.57457619054904 38.29654192928622)))"
V_SDI_R_AIOLIKA13.33651,33651,Γ-03771,ΕΛΛΑΚΤΩΡ Α.Ε.,ΑΔ-01900,ΚΡΑΝΙΕΣ - ΚΑΡΑΒΑΜΙΑ - ΕΛΑΤΟΣ,"ΠΩΓΩΝΙΟΥ,ΖΙΤΣΑΣ","ΑΝΩ ΚΑΛΑΜΑ,ΕΥΡΥΜΕΝΩΝ,ΛΑΒΔΑΝΗΣ,ΜΟΛΟΣΣΩΝ",ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΝΑΙ,50,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2009-02-09,2010-10-04,"MULTIPOLYGON (((20.528372026316507 39.80977373354587, 20.531184812684803 39.81010438512792, 20.53716121389226 39.79781589450494, 20.539780878642567 39.79585438782835, 20.543198960421527 39.78985200867159, 20.543268851592458 39.78728275125748, 20.546897514772436 39.78314775256612, 20.548921999505993 39.777794233847445, 20.554083129927076 39.76691035453714, 20.55591265347852 39.761652495624794, 20.559071063466703 39.75917969385289, 20.559460556869368 39.756034700426746, 20.562004466549098 39.75439078781192, 20.568455056665936 39.750765188932, 20.571013549237342 39.74702994830848, 20.57961274089419 39.74898088722467, 20.57993517735414 39.74664420664374, 20.57361900053557 39.74330891373966, 20.57033928859698 39.743646278112266, 20.56226321587433 39.749442365234955, 20.55567406308656 39.752547931635505, 20.55611580589763 39.75755533104292, 20.553009412041014 39.760231718529525, 20.55150949061397 39.764805966399514, 20.54740905377828 39.77199193390454, 20.5444447169777 39.780798299702106, 20.540717729092897 39.78547611704308, 20.540077135786245 39.7887447619611, 20.53537707679469 39.79525285177006, 20.531954362199794 39.80041998136768, 20.528522833877027 39.808926545404915, 20.528372026316507 39.80977373354587)))"
V_SDI_R_AIOLIKA13.33728,33728,Β-00334,ΕΝΕΡΓΕΙΑΚΗ ΔΥΣΤΙΩΝ ΕΥΒΟΙΑΣ Μ.Α.Ε.,ΑΔ-00419,ΑΓΡΙΑΧΛΑΔΙΑ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΔΥΣΤΥΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,21,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.162038622189357 38.392086275083365, 24.160378366684686 38.39215164386238, 24.157059288969588 38.39294921472579, 24.15610981335505 38.393401094914566, 24.15335986695791 38.392620659817986, 24.150943050383724 38.39231738040128, 24.150785599184992 38.39369645574923, 24.153236757889335 38.39397265670433, 24.156341942370943 38.39484274360554, 24.158023832297268 38.39416457068994, 24.16074749238555 38.39336779061335, 24.162328201303758 38.393563881681736, 24.163542376829866 38.39371540214851, 24.16482549008493 38.393965947732916, 24.166430034429528 38.3945584883351, 24.16806693578555 38.394276773651505, 24.169498269086294 38.394238663898726, 24.17201687896485 38.393946603661306, 24.171612654593158 38.392496225864484, 24.169220244522563 38.39286920549206, 24.167617316817672 38.392970642980636, 24.16617501005118 38.39320701455343, 24.165223373284757 38.39268564981838, 24.16405471038798 38.392398899448196, 24.162038622189357 38.392086275083365)), ((24.183597026827023 38.37695897593642, 24.18200993848019 38.378664767655884, 24.17854874934782 38.38185141645079, 24.177981690742065 38.384060280593104, 24.17526838874456 38.384181527603374, 24.17388286175989 38.38413852950392, 24.17189131098989 38.384438870686786, 24.17051885988269 38.3850897569737, 24.169261703184734 38.38609193845588, 24.168568730589534 38.388454145639315, 24.170366806100965 38.388604754579575, 24.17062633384854 38.38697316060113, 24.171529025527207 38.38617876551636, 24.172547117460272 38.38577172032082, 24.173840276732204 38.385481417955, 24.17680596700513 38.38554006859889, 24.178294372882657 38.385501765463424, 24.179003470180753 38.38517624395267, 24.180107875340948 38.38266013445193, 24.183260229652184 38.379600094846936, 24.18493883007008 38.377867105390635, 24.183597026827023 38.37695897593642)))"
V_SDI_R_AIOLIKA13.34357,34357,00472,ΕΝΕΡΓΕΙΑΚΗ ΔΥΣΤΙΩΝ ΕΥΒΟΙΑΣ Μ.Α.Ε.,ΑΔ-00408,ΜΕΣΟΚΗΠΙ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΔΥΣΤΥΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,9,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.20315400120608 38.37382650192759, 24.20493013319024 38.37441822033811, 24.20866796116741 38.37640333717106, 24.209660807451314 38.37530207023718, 24.206392838523726 38.37347837924399, 24.204449879118226 38.3705527967825, 24.202363609118937 38.36954704185071, 24.198239104406966 38.372492087396864, 24.199398086048145 38.37349048358616, 24.200266448275894 38.37287616955049, 24.20315400120608 38.37382650192759)))"
V_SDI_R_AIOLIKA13.33674,33674,Β-00332,ΑΙΟΛΙΚΗ ΜΑΡΜΑΡΙΟΥ ΕΥΒΟΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (δ.τ. ΑΙΟΛΙΚΗ ΜΑΡΜΑΡΙΟΥ ΕΥΒΟΙΑΣ ΑΕ),ΑΔ-00427,ΚΑΡΑΜΠΙΛΑ-KYMH,ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,19.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.323753102851608 38.1352398875853, 24.32486420710689 38.136201169601016, 24.32636701611874 38.13543093234522, 24.328846366787964 38.13360347071597, 24.329345627947337 38.13298020181378, 24.33108838429628 38.13230836978026, 24.3322837941666 38.13171917479775, 24.33339636351577 38.13048129437571, 24.333911487206898 38.12834384087717, 24.335201917846536 38.12859251950554, 24.33670876703866 38.1287594503104, 24.338249934970648 38.12894428820406, 24.33967580296859 38.12886807336733, 24.341399198678406 38.12898024197971, 24.34145015970994 38.12767326423156, 24.340936484465658 38.1276206803002, 24.33984067977593 38.1275157037262, 24.338084422651104 38.12769201057174, 24.333780114253024 38.12705540939467, 24.332490124173777 38.12689684000508, 24.331864707875084 38.12988178561154, 24.331046989678597 38.130722266076944, 24.33022791281687 38.13126532825439, 24.328462151088548 38.131892148857226, 24.327758433338243 38.13272327484925, 24.32650624007326 38.13338468251502, 24.325700032082153 38.13427015650854, 24.32431082708034 38.13492290784092, 24.323753102851608 38.1352398875853)))"
V_SDI_R_AIOLIKA13.33745,33745,Β-00327,ΑΙΟΛΙΚΗ ΜΑΡΜΑΡΙΟΥ ΕΥΒΟΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (δ.τ. ΑΙΟΛΙΚΗ ΜΑΡΜΑΡΙΟΥ ΕΥΒΟΙΑΣ ΑΕ),ΑΔ-00457,ΠΥΡΓΑΡΙ/ΝΤΑΡΔΙΖΑ,ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,6.3,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.389941745203853 38.13832680881743, 24.390797853325807 38.13935044389298, 24.393863117866076 38.13774725846982, 24.395275251584728 38.1368029618091, 24.396228389591776 38.13558347443614, 24.396635435125994 38.13462205224421, 24.3982324279782 38.13297256275072, 24.39681208053061 38.132151544488956, 24.395068885967518 38.13410448314706, 24.39484395707586 38.13483443946507, 24.393967170976364 38.135842386537206, 24.393085278891707 38.13642197548379, 24.391609911511605 38.13736714169083, 24.389941745203853 38.13832680881743)))"
